"","Age","Gender","Kids","Edu","WorkStatus","AnnualIncome","Occupation","DurationYear","DurationMon","CommSize","ResidntCntry","MaritlStatus","NoOfSons","NoOfDghtrs","DP1","DP2","DP3","DP4","DP5","AIP1","AIP2","AIP3","AIP4","AIP5","AIP6","AIP7","AIP8","AIP9","AIP10","AIP11","AIP12","AIP13","AIP14","AIP15","GP1","GP2","GP3","GP4","GP5","GP6","GP7","GP8","GP9","GP10","GP11","GP12","GP13","GP14","GP15","GP16","GP17","GP18","GP19","GP20","SWLS1","SWLS2","SWLS3","SWLS4","SWLS5","SelfProcast","OtherProcast","DPMean","AIPMean","GPMean","SWLSMean"
"3643",37.5,"Male","No Kids","phd","full-time",NA,"",6,0,"Village","United States","Married","0",0,4,2,3,4,4,1,1,4,4,4,1,4,4,4,4,3,1,4,2,3,5,2,4,4,2,5,4,3,5,1,4,4,2,4,4,5,2,4,4,5,2,3,2,4,3,"yes","yes",3.4,2.93333333333333,3.65,2.8
"3644",21,"Male","Yes Kids","ltuni","full-time",45000,"",0,3,"Village","United States","Single","0",1,4,4,4,4,4,4,3,4,5,4,4,5,4,3,4,5,4,3,4,4,4,4,4,5,2,4,3,3,4,4,2,4,5,4,4,5,5,4,4,4,3,3,3,3,3,"yes","yes",4,4,3.9,3
"3645",28,"Female","No Kids","deg","full-time",25000,"",1,0,"Rural/Country","United States","Single","0",0,5,5,4,4,4,5,2,3,4,3,1,5,5,3,3,4,3,5,2,5,5,5,3,5,5,4,5,4,5,2,4,5,5,5,5,5,5,4,5,5,2,2,3,2,1,"yes","yes",4.4,3.53333333333333,4.55,2
"3646",32.5,"Female","No Kids","phd","full-time",150000,"",0,0,"","United States","Single","0",0,4,4,3,5,5,5,5,4,5,5,5,5,5,5,5,2,5,3,5,5,4,2,4,4,4,3,4,4,4,5,5,5,2,3,5,5,2,4,4,4,3,2,2,3,1,"yes","yes",4.2,4.6,3.85,2.2
"3647",45,"Female","Yes Kids","phd","full-time",67500,"",7,0,"Village","United States","Married","1",0,5,4,4,3,3,2,3,5,3,3,4,5,5,4,5,1,3,4,3,3,4,2,3,2,3,4,3,4,5,3,3,5,2,2,4,3,2,5,4,3,3,4,3,5,4,"yes","yes",3.8,3.53333333333333,3.3,3.8
"3648",37.5,"Female","Yes Kids","ltuni","unemployed",NA,"",0,0,"Medium-Sized","United States","Divorced","0",1,5,5,5,5,5,5,1,3,1,1,2,3,3,1,1,1,1,5,1,5,5,5,1,1,5,5,1,1,3,1,5,5,4,5,2,5,5,5,1,5,1,1,1,1,1,"yes","no",5,2.26666666666667,3.5,1
"3649",37.5,"Male","Yes Kids","high","full-time",35000,"",1,0,"Medium-Sized","United States","Divorced","0",1,4,4,5,3,3,1,5,5,1,1,1,5,5,1,1,4,5,5,5,5,5,5,1,2,4,5,4,4,5,5,1,4,5,5,4,5,4,5,5,5,1,1,1,3,1,"yes","yes",3.8,3.33333333333333,4.15,1.4
"3650",45,"Male","Yes Kids","ma","full-time",250000,"",10,0,"Village","United States","Married","1",1,4,3,3,3,3,1,1,5,4,3,4,2,5,2,5,4,2,1,1,3,4,2,4,4,3,4,4,4,4,4,4,4,2,4,5,5,5,4,5,4,3,4,2,5,3,"yes","yes",3.2,2.86666666666667,3.95,3.4
"3651",37.5,"Female","No Kids","deg","full-time",35000,"",1,0,"Large-City","United States","Married","0",0,3,3,3,2,2,2,1,3,3,2,1,3,2,2,2,3,2,3,3,3,3,3,2,2,4,2,2,2,3,2,3,2,3,3,3,4,3,3,3,3,3,4,4,4,3,"no","yes",2.6,2.33333333333333,2.75,3.6
"3652",20,"Female","No Kids","ltuni","student",NA,"",0,0,"Village","United States","","0",0,5,5,5,5,5,1,3,4,5,3,5,5,4,3,5,4,5,3,5,4,5,3,3,5,5,2,5,4,5,3,5,5,2,4,5,4,4,4,5,4,3,5,4,5,5,"yes","yes",5,3.93333333333333,4.1,4.4
"3653",37.5,"Female","Yes Kids","phd","part-time",25000,"",2,0,"Village","United States","Separated","1",0,2,2,2,2,2,1,2,2,3,3,2,2,2,2,2,3,4,3,4,2,3,2,2,1,2,3,3,3,3,3,3,3,2,3,3,2,2,2,2,3,4,4,4,4,4,"no","no",2,2.46666666666667,2.5,4
"3654",55,"Female","Yes Kids","deg","retired",45000,"",0,0,"Small Town","United States","Married","5",1,1,4,2,2,2,2,3,5,5,4,4,4,3,3,4,3,4,2,4,4,4,3,3,4,4,3,4,3,4,2,4,3,3,4,2,5,2,4,5,3,4,3,2,4,2,"yes","yes",2.2,3.6,3.45,3
"3655",55,"Female","No Kids","deg","full-time",150000,"",8,0,"Village","United States","Single","0",0,4,4,4,3,3,2,2,3,3,4,2,5,5,3,5,3,3,3,4,5,4,5,4,5,5,5,5,4,5,1,5,4,3,5,5,5,5,5,2,3,3,3,3,1,1,"yes","yes",3.6,3.46666666666667,4.25,2.2
"3656",55,"Female","No Kids","deg","full-time",45000,"",3,0,"Medium-Sized","United States","Divorced","0",0,3,2,3,3,3,3,2,3,2,3,3,3,3,4,3,3,2,4,2,4,3,2,2,4,3,2,4,4,4,2,3,4,3,3,4,3,3,4,2,4,4,4,4,4,3,"yes","yes",2.8,2.93333333333333,3.15,3.8
"3657",45,"Male","Yes Kids","deg","full-time",150000,"",1,0,"Small Town","United States","Divorced","0",1,3,3,4,4,4,2,2,2,3,3,5,3,3,2,4,2,2,2,2,5,4,1,2,2,3,3,3,3,3,2,1,2,2,2,3,1,1,4,3,2,3,3,3,3,3,"yes","yes",3.6,2.8,2.35,3
"3659",28,"Male","No Kids","ma","full-time",67500,"",3,0,"Large Town","United States","Married","0",0,4,4,4,4,4,3,2,4,4,4,2,4,3,3,4,5,3,5,2,4,5,3,4,4,4,3,4,4,5,3,4,4,4,3,3,4,3,4,5,4,3,3,4,4,2,"yes","yes",4,3.46666666666667,3.85,3.2
"3660",45,"Female","No Kids","deg","unemployed",10000,"",1,0,"Village","United States","Single","0",0,1,1,3,1,1,1,5,3,1,1,1,2,4,1,1,2,1,1,1,1,3,1,1,3,3,1,1,1,3,1,1,3,1,2,3,3,4,3,2,3,3,2,2,5,4,"yes","no",1.4,1.73333333333333,2.15,3.2
"3661",32.5,"Female","No Kids","ma","full-time",67500,"",2,0,"Village","United States","Single","0",0,5,4,4,4,4,5,4,4,1,5,5,3,2,1,2,2,3,5,4,5,2,1,1,5,5,1,5,3,5,3,3,4,4,2,3,5,3,3,5,4,2,3,2,3,3,"yes","no",4.2,3.4,3.35,2.6
"3662",55,"Female","Yes Kids","deg","part-time",87500,"",1,0,"8","United States","Married","0",1,3,3,4,3,3,2,2,4,3,2,3,2,2,2,2,2,2,2,3,3,3,2,2,2,3,2,3,2,3,3,4,3,2,2,2,3,3,3,3,2,3,4,2,4,2,"no","no",3.2,2.4,2.6,3
"3663",45,"Female","No Kids","phd","full-time",150000,"",14,0,"Village","United States","Married","0",0,4,4,4,2,2,1,1,1,3,2,2,2,2,2,2,2,3,3,2,2,4,1,2,2,1,2,3,3,4,2,5,4,4,2,4,4,2,4,4,2,3,3,4,4,2,"no","no",3.2,2,2.95,3.2
"3664",32.5,"Female","No Kids","phd","full-time",67500,"",5,0,"Village","United States","Married","0",0,3,4,2,1,1,1,1,1,1,1,1,1,2,1,1,3,1,3,1,1,3,2,1,4,4,3,3,3,4,2,4,4,1,2,2,2,2,5,4,4,3,3,3,3,3,"yes","no",2.2,1.33333333333333,2.95,3
"3665",55,"Female","No Kids","phd","full-time",87500,"",10,0,"Small Town","United States","Divorced","0",0,3,3,3,2,2,1,1,4,3,2,4,2,3,3,3,4,3,2,2,3,3,2,2,4,2,1,3,2,3,1,5,3,3,2,4,5,5,2,3,2,3,3,2,3,3,"yes","no",2.6,2.66666666666667,2.85,2.8
"3666",45,"Female","Yes Kids","ma","full-time",67500,"",1,0,"Rural/Country","United States","Married","1",0,2,1,1,1,1,1,1,5,2,1,1,1,3,1,1,3,3,2,1,2,1,1,2,1,1,3,1,5,1,1,1,1,1,1,3,5,2,2,1,1,5,5,5,5,3,"no","no",1.2,1.86666666666667,1.75,4.6
"3667",28,"Male","No Kids","ma","student",35000,"",3,11,"Rural/Country","United States","Married","0",0,3,3,4,3,3,1,1,5,2,2,1,3,4,1,2,3,3,5,1,1,4,3,4,3,1,3,3,4,4,2,3,3,1,3,4,5,4,5,4,3,4,4,5,5,4,"yes","no",3.2,2.33333333333333,3.3,4.4
"3668",28,"Female","No Kids","deg","full-time",87500,"",3,0,"Village","United States","Single","0",0,1,1,2,1,1,2,2,5,3,3,1,2,2,1,1,3,4,3,4,1,1,1,1,5,3,2,1,1,3,1,3,2,2,2,1,3,3,2,2,3,5,5,5,5,5,"no","no",1.2,2.46666666666667,2.1,5
"3669",45,"Female","No Kids","phd","full-time",45000,"",0,7,"8","United States","Married","0",0,3,3,4,2,2,1,1,4,2,3,2,2,2,2,4,4,1,2,1,2,3,2,3,4,1,5,4,3,2,2,3,3,1,4,3,4,4,4,3,2,3,3,3,2,1,"yes","yes",2.8,2.2,3,2.4
"3670",24,"Female","No Kids","deg","full-time",35000,"",0,6,"Village","United States","Single","0",0,4,5,4,3,3,1,3,5,5,3,4,5,4,5,4,1,4,1,5,4,4,2,1,5,2,1,4,3,5,1,2,3,1,1,4,5,5,1,1,3,3,3,4,4,1,"yes","no",3.8,3.6,2.7,3
"3671",37.5,"Female","No Kids","ma","student",25000,"",3,0,"Large Town","United States","Single","0",0,2,2,4,2,2,1,1,2,1,3,1,1,1,1,3,2,2,2,1,3,3,2,2,2,1,4,3,3,2,1,4,3,1,3,2,2,3,3,2,3,4,5,4,3,1,"no","no",2.4,1.66666666666667,2.45,3.4
"3672",55,"Female","Yes Kids","ma","full-time",55000,"",1,3,"Medium-Sized","United States","Divorced","0",0,3,4,5,3,3,5,4,3,5,3,2,3,3,1,2,5,3,5,2,5,4,2,2,4,5,2,4,4,4,4,2,4,5,5,4,4,4,3,3,3,1,2,1,1,2,"yes","no",3.6,3.4,3.6,1.4
"3673",37.5,"Male","Yes Kids","deg","full-time",67500,"",6,0,"Large Town","United States","Married","0",1,4,4,4,4,4,5,2,2,4,2,3,5,4,4,5,4,4,5,4,5,5,4,4,4,5,4,4,4,4,4,4,4,5,4,5,5,5,4,1,4,3,3,2,3,2,"yes","yes",4,3.86666666666667,4.15,2.6
"3674",45,"Male","Yes Kids","ma","full-time",87500,"",12,5,"Small Town","United States","Married","1",1,2,2,2,1,1,1,1,5,3,2,5,3,2,1,1,1,2,3,1,1,1,1,3,1,1,2,1,1,1,2,4,2,2,2,3,3,1,2,1,2,5,5,5,5,4,"no","no",1.6,2.13333333333333,1.8,4.8
"3675",24,"Female","No Kids","deg","full-time",25000,"",2,4,"Small Town","United States","Single","0",0,3,4,5,3,3,2,4,5,4,4,2,5,4,4,4,5,2,4,5,4,4,4,3,4,3,5,3,4,4,2,3,4,2,4,5,4,4,4,4,4,2,3,2,2,1,"yes","yes",3.6,3.86666666666667,3.7,2
"3676",45,"Female","Yes Kids","ma","full-time",87500,"",1,0,"Rural/Country","United States","Married","3",0,2,2,2,3,3,1,1,4,3,3,3,2,4,2,4,4,2,3,1,5,4,3,2,3,3,3,3,3,4,2,4,4,3,3,4,3,2,4,4,5,3,3,2,3,3,"yes","no",2.4,2.8,3.3,2.8
"3677",55,"Male","Yes Kids","ltuni","full-time",150000,"",0,5,"Small Town","United States","Married","1",1,1,1,3,1,1,1,1,3,2,1,2,2,2,1,3,4,1,2,1,1,2,1,2,1,2,2,3,2,4,2,2,3,1,1,2,2,1,2,4,3,4,4,4,4,3,"yes","no",1.4,1.8,2.1,3.8
"3678",28,"Male","No Kids","deg","full-time",45000,"",1,2,"Village","United States","Single","0",0,4,5,3,4,4,2,2,5,2,4,1,4,3,5,4,5,2,2,1,5,5,3,2,5,3,2,5,4,4,5,4,4,4,3,4,3,3,5,5,5,3,4,4,2,1,"yes","yes",4,3.13333333333333,3.9,2.8
"3679",37.5,"Male","No Kids","deg","full-time",45000,"",1,0,"Village","United States","Single","0",0,4,5,5,4,4,1,3,1,3,4,4,5,2,2,4,4,1,5,1,5,5,1,3,3,4,4,4,3,4,1,1,4,2,5,3,4,4,3,5,5,2,3,2,2,1,"yes","yes",4.4,3,3.4,2
"3680",45,"Female","Yes Kids","deg","full-time",87500,"",2,1,"Small Town","United States","Single","0",1,3,3,3,3,3,2,2,2,3,4,4,3,4,3,4,2,3,1,4,3,4,2,1,4,3,3,4,3,4,3,4,5,4,1,4,4,3,4,5,4,4,4,4,4,2,"yes","yes",3,2.93333333333333,3.45,3.6
"3681",80,"Male","Yes Kids","deg","retired",87500,"",1,0,"Large-City","United States","Divorced","1",2,3,2,2,1,1,1,1,5,3,2,1,1,2,1,1,2,2,1,1,1,4,1,2,1,1,1,2,2,2,1,2,1,1,2,3,5,1,2,4,2,4,4,4,5,4,"no","no",1.8,1.66666666666667,2,4.2
"3682",28,"Male","Yes Kids","phd","full-time",150000,"",3,0,"Small Town","United States","Married","1",2,3,3,5,2,2,3,3,2,4,3,4,4,4,2,3,4,4,4,3,5,5,3,3,3,4,3,5,4,5,4,3,4,3,4,4,4,4,4,5,4,5,5,5,5,2,"yes","yes",3,3.46666666666667,3.9,4.4
"3683",19,"Female","No Kids","ltuni","student",NA,"",0,1,"Large Town","United States","Single","0",0,1,1,1,1,1,1,1,1,2,2,1,5,2,1,2,2,1,4,1,1,2,1,1,2,2,2,2,3,3,1,1,2,1,1,3,3,1,3,3,3,2,3,2,2,1,"yes","yes",1,1.8,2,2
"3684",67.5,"Male","Yes Kids","deg","retired",87500,"",0,0,"Large Town","United States","Married","0",3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,1,1,1,4,3,4,4,1,"no","no",1,1,1.15,3.2
"3685",37.5,"Male","Yes Kids","ltuni","full-time",15000,"",1,9,"Village","United States","Divorced","1",2,1,1,1,1,1,3,1,2,1,3,2,1,1,2,2,3,1,4,1,1,3,1,2,1,3,2,3,2,3,1,1,1,2,3,1,4,4,1,2,2,4,3,4,4,4,"no","no",1,1.86666666666667,2.1,3.8
"3686",22,"Male","No Kids","high","part-time",35000,"",1,0,"Medium-Sized","United States","Single","0",0,5,4,4,5,5,4,4,3,5,4,2,5,4,5,5,3,4,4,4,4,4,3,4,4,4,4,3,1,3,3,4,5,4,3,4,3,3,4,5,4,3,3,2,2,1,"yes","yes",4.6,4,3.6,2.2
"3687",55,"Male","No Kids","ma","full-time",250000,"",1,0,"Large Town","United States","Single","0",0,2,3,4,2,2,1,1,4,1,3,1,4,4,3,3,2,2,3,1,2,3,2,3,2,1,2,3,4,4,1,2,4,1,4,4,4,3,3,2,2,3,4,4,4,3,"yes","yes",2.6,2.33333333333333,2.7,3.6
"3688",37.5,"Male","Yes Kids","lthigh","full-time",55000,"",8,6,"Medium-Sized","United States","Married","0",1,3,2,2,2,5,1,1,5,1,4,1,3,3,2,2,2,2,2,1,5,4,1,2,1,4,2,2,3,3,1,4,3,1,2,4,4,4,4,3,4,3,3,3,3,2,"yes","yes",2.8,2.33333333333333,2.8,2.8
"3689",25,"Female","No Kids","high","student",15000,"",4,6,"Village","United States","Single","0",0,4,3,3,1,1,1,1,1,2,3,5,1,4,2,2,3,1,3,1,3,5,1,1,5,3,3,3,4,5,1,3,3,1,1,2,1,2,4,5,2,4,4,4,4,4,"yes","no",2.4,2.2,2.75,4
"3690",32.5,"Female","No Kids","ma","full-time",87500,"",1,0,"Small Town","United States","Married","0",0,1,3,3,2,2,2,2,3,4,2,1,1,3,1,1,4,4,3,3,2,2,2,2,4,3,5,3,3,2,3,3,3,2,2,3,3,2,3,2,4,3,3,3,3,3,"yes","no",2.2,2.4,2.8,3
"3691",55,"Female","No Kids","ma","part-time",35000,"",0,0,"Rural/Country","United States","Married","0",0,2,3,1,2,1,4,1,5,3,2,4,2,2,3,2,1,1,1,2,4,5,1,3,5,4,3,5,3,5,1,1,4,4,2,5,4,1,4,5,1,3,4,2,4,1,"yes","yes",1.8,2.46666666666667,3.3,2.8
"3692",67.5,"Female","Yes Kids","phd","retired",87500,"",5,0,"Rural/Country","United States","Divorced","0",2,4,4,4,2,3,1,1,4,3,3,1,5,3,1,5,1,1,1,2,1,5,1,3,1,3,2,5,3,5,1,3,5,2,2,4,4,4,3,4,3,5,5,5,5,5,"yes","no",3.4,2.2,3.15,5
"3693",19,"Male","No Kids","ltuni","student",NA,"",0,1,"Small Town","United States","Single","0",0,5,4,3,3,3,1,3,4,4,5,4,4,4,4,4,3,4,3,3,5,4,4,2,3,3,2,4,3,3,3,3,3,2,3,4,3,4,4,4,4,4,5,5,5,5,"yes","yes",3.6,3.66666666666667,3.25,4.8
"3694",28,"Female","No Kids","grade","full-time",55000,"",5,0,"Small Town","United States","Single","0",0,2,2,1,1,1,1,2,3,3,2,1,3,2,2,3,3,3,4,3,2,3,3,3,4,3,2,3,2,3,4,4,3,1,2,4,4,4,2,2,2,3,5,4,5,3,"no","no",1.4,2.46666666666667,2.9,4
"3695",25,"Female","No Kids","ltuni","student",15000,"",8,0,"Small Town","United States","Single","0",0,3,4,3,1,1,1,1,2,1,5,1,1,3,1,3,4,1,3,1,3,4,1,3,2,3,4,3,3,4,1,4,4,3,4,3,3,3,4,2,3,2,3,1,3,3,"yes","yes",2.4,2.06666666666667,3.05,2.4
"3696",16.5,"Female","No Kids","lthigh","student",10000,"",1,2,"Rural/Country","United States","Single","0",0,3,4,4,2,2,1,1,2,2,2,1,1,5,2,2,2,2,2,1,1,1,1,4,5,1,4,4,2,4,1,5,2,1,2,3,5,4,2,4,3,4,4,4,5,4,"yes","yes",3,1.8,2.9,4.2
"3697",45,"Female","Yes Kids","high","full-time",45000,"",1,0,"Village","United States","Married","1",0,3,2,2,2,2,1,5,5,5,4,2,5,3,4,5,2,5,1,5,4,4,3,3,5,3,5,3,2,4,5,2,3,1,5,4,5,2,5,5,5,4,4,4,5,4,"yes","yes",2.2,3.73333333333333,3.7,4.2
"3698",55,"Male","No Kids","ma","full-time",25000,"",14,0,"Rural/Country","United States","Divorced","0",0,4,4,4,4,4,3,1,2,2,5,3,4,4,4,5,3,1,3,1,5,5,3,2,1,2,2,4,3,4,3,3,4,4,1,4,4,4,4,3,3,1,1,1,1,1,"yes","yes",4,3.06666666666667,3.15,1
"3699",37.5,"Female","Yes Kids","deg","full-time",87500,"",14,0,"Small Town","United States","Single","0",1,5,5,4,3,3,2,3,5,4,3,5,4,3,3,4,3,4,3,5,4,4,3,3,3,5,4,4,4,4,4,3,3,3,3,4,3,3,5,4,4,2,3,3,2,1,"yes","yes",4,3.66666666666667,3.65,2.2
"3700",28,"Female","No Kids","deg","full-time",35000,"",0,7,"Village","United States","Single","0",0,4,4,3,3,3,1,3,5,4,3,3,4,3,2,3,4,5,3,4,3,4,2,2,4,4,2,1,3,3,2,2,4,2,2,4,4,4,4,4,4,1,2,1,2,2,"yes","",3.4,3.33333333333333,3.05,1.6
"3701",25,"Female","No Kids","deg","student",10000,"",1,0,"Rural/Country","United States","Single","0",0,4,3,4,2,2,1,3,3,5,3,5,5,4,3,5,3,4,2,3,2,5,1,1,4,1,2,4,4,4,2,5,4,2,3,4,4,2,3,4,3,3,3,4,3,3,"yes","yes",3,3.4,3.1,3.2
"3702",37.5,"Male","No Kids","phd","part-time",35000,"",2,0,"Small Town","United States","Married","0",0,3,2,2,1,1,1,1,2,3,2,2,1,4,2,4,2,2,2,2,2,3,1,3,4,1,2,2,3,3,1,4,3,1,3,3,4,3,3,3,3,3,4,4,4,2,"no","no",1.8,2.13333333333333,2.65,3.4
"3703",55,"Female","Yes Kids","ltuni","part-time",15000,"",8,10,"Large Town","United States","Married","1",1,5,4,4,3,3,2,4,4,5,5,2,5,4,4,5,4,5,4,5,5,5,3,4,4,4,3,5,4,5,4,4,5,3,4,4,5,5,4,5,4,4,4,4,4,2,"yes","yes",3.8,4.2,4.2,3.6
"3704",45,"Female","Yes Kids","ltuni","unemployed",87500,"",1,0,"Small Town","United States","Married","3",0,2,2,1,1,1,5,5,4,5,5,3,4,4,2,4,3,5,5,4,5,5,1,2,2,4,5,4,3,4,1,2,3,5,4,4,4,4,5,5,4,4,4,4,5,4,"yes","no",1.4,4.2,3.55,4.2
"3705",32.5,"Male","No Kids","ltuni","unemployed",NA,"",2,6,"Village","United States","Single","0",0,2,2,2,2,2,2,2,1,4,2,1,4,2,1,2,5,3,5,5,5,4,1,2,1,1,3,3,1,3,2,2,3,2,4,2,4,4,4,4,2,1,1,1,3,1,"yes","yes",2,2.93333333333333,2.6,1.4
"3706",16.5,"Male","No Kids","high","student",10000,"",0,0,"Small Town","United States","Single","0",0,4,3,4,2,2,3,2,5,2,3,1,4,4,4,5,4,4,3,1,2,4,1,3,4,1,3,3,3,4,2,4,3,4,5,3,2,1,3,4,4,3,3,4,2,1,"yes","yes",3,3.13333333333333,3.05,2.6
"3707",21,"Female","No Kids","high","part-time",10000,"",1,0,"Large Town","United States","Single","0",0,4,3,2,2,2,3,5,5,5,4,5,5,4,5,5,3,5,4,5,5,5,2,3,5,5,3,2,3,3,3,4,3,1,4,5,2,1,4,5,5,2,2,2,1,2,"yes","yes",2.6,4.53333333333333,3.4,1.8
"3708",32.5,"Female","No Kids","deg","full-time",25000,"",6,0,"Medium-Sized","United States","Single","0",0,2,3,3,2,2,2,2,3,2,2,1,3,4,2,2,3,3,3,2,3,4,1,2,4,2,3,2,4,3,1,4,3,3,2,3,4,4,3,2,4,3,3,3,2,2,"yes","yes",2.4,2.46666666666667,2.9,2.6
"3709",37.5,"Male","Yes Kids","deg","full-time",87500,"",4,9,"Small Town","United States","Married","1",2,2,2,1,1,1,2,1,3,3,2,1,4,3,1,3,3,2,3,1,5,3,4,3,3,3,2,3,1,3,4,1,2,2,4,3,5,4,4,3,3,4,4,4,4,4,"yes","yes",1.4,2.46666666666667,3,4
"3710",45,"Female","Yes Kids","dip","full-time",67500,"",6,2,"","United States","Divorced","0",0,3,4,3,2,1,1,1,1,2,2,1,1,2,3,4,2,2,1,1,2,1,4,1,4,3,5,3,3,2,2,3,4,1,3,3,2,1,4,4,3,3,2,3,3,2,"no","no",2.6,1.73333333333333,2.8,2.6
"3711",45,"Female","Yes Kids","deg","full-time",67500,"",5,0,"Village","United States","Divorced","0",2,2,2,2,2,3,2,1,1,2,2,2,2,3,2,2,5,1,3,1,4,3,1,2,3,3,3,3,3,4,1,2,3,3,2,3,3,3,4,2,4,3,4,4,3,2,"yes","no",2.2,2.2,2.75,3.2
"3712",28,"Male","No Kids","dip","full-time",35000,"",0,10,"Village","United States","Single","0",0,3,4,5,4,4,2,2,1,5,5,2,5,4,5,5,3,4,2,4,4,3,1,2,5,4,3,3,5,5,3,5,4,3,1,4,5,5,3,4,3,3,3,1,4,2,"yes","yes",4,3.53333333333333,3.55,2.6
"3713",55,"Male","Yes Kids","ltuni","retired",25000,"",0,0,"Large Town","United States","Divorced","1",0,5,5,3,4,4,5,3,5,5,5,2,5,5,5,5,4,5,5,4,5,4,4,4,4,4,5,5,4,5,5,5,5,5,5,2,5,5,5,5,5,1,3,3,2,1,"yes","yes",4.2,4.53333333333333,4.55,2
"3714",55,"Female","Yes Kids","high","full-time",NA,"",12,0,"Medium-Sized","United States","Married","0",0,3,4,2,2,2,2,5,4,5,2,1,1,2,3,4,3,4,1,3,2,3,1,5,3,4,1,1,2,1,4,4,4,2,3,2,4,2,3,3,2,3,2,2,3,2,"yes","no",2.6,2.8,2.7,2.4
"3716",28,"Female","No Kids","deg","full-time",25000,"",1,9,"Small Town","United States","Single","0",0,4,4,4,1,1,2,3,5,5,1,1,5,2,1,4,3,4,3,5,5,4,1,2,5,4,4,4,3,4,5,5,3,4,1,3,5,4,3,4,1,3,4,4,5,5,"yes","yes",2.8,3.26666666666667,3.45,4.2
"3717",45,"Female","Yes Kids","deg","part-time",10000,"",3,6,"Large Town","United States","Married","0",0,4,4,3,1,2,2,1,5,3,2,2,2,3,1,2,5,3,5,1,2,3,5,2,4,4,5,4,3,4,3,4,3,3,3,3,5,4,4,2,3,4,4,4,5,4,"yes","no",2.8,2.6,3.55,4.2
"3718",55,"Female","Yes Kids","ma","full-time",25000,"",2,0,"Rural/Country","United States","Divorced","0",1,4,4,1,1,1,2,1,5,1,4,2,1,4,4,3,5,1,5,1,5,5,1,3,1,1,5,4,5,4,1,2,5,4,5,3,1,1,5,3,5,3,3,4,1,1,"yes","no",2.2,2.93333333333333,3.2,2.4
"3720",37.5,"Male","No Kids","ma","full-time",150000,"",6,6,"Small Town","United States","Single","0",0,2,3,3,2,2,2,1,3,4,3,4,4,2,3,2,1,1,3,2,3,3,1,1,3,3,2,2,2,4,2,4,3,2,2,3,3,3,3,4,3,3,3,3,3,1,"yes","yes",2.4,2.53333333333333,2.65,2.6
"3721",19,"Male","No Kids","ltuni","student",10000,"",0,2,"Rural/Country","United States","Single","0",0,3,2,2,1,1,1,1,2,1,2,1,4,2,1,4,2,2,2,2,1,3,2,3,4,1,2,2,2,4,3,3,3,2,3,4,5,2,3,4,4,2,4,3,3,1,"yes","yes",1.8,1.86666666666667,2.95,2.6
"3722",16.5,"Female","No Kids","high","student",NA,"",0,0,"Small Town","United States","Single","0",0,4,4,3,1,1,1,2,4,4,2,1,3,3,2,3,2,4,4,3,2,4,1,3,2,5,1,4,4,3,1,3,4,2,2,4,5,3,2,1,4,3,4,3,4,2,"yes","yes",2.6,2.66666666666667,2.9,3.2
"3723",25,"Female","No Kids","deg","full-time",35000,"",2,0,"Village","United States","Single","0",0,3,1,1,1,1,3,2,2,3,1,3,2,2,1,3,2,4,3,3,3,2,1,1,2,2,1,3,1,3,2,3,2,2,1,3,2,2,2,2,2,3,4,4,3,4,"no","no",1.4,2.46666666666667,1.95,3.6
"3724",45,"Male","No Kids","deg","full-time",87500,"",5,0,"Rural/Country","United States","Divorced","0",0,2,2,2,2,2,1,1,2,3,3,3,1,3,5,3,3,2,1,1,1,4,2,1,2,1,1,1,2,1,5,3,5,1,1,2,5,5,1,2,1,3,3,3,3,1,"yes","no",2,2.2,2.3,2.6
"3725",55,"Female","Yes Kids","ma","full-time",55000,"",5,0,"Small Town","United States","Widowed","1",0,3,4,4,2,2,2,2,3,3,4,3,3,4,3,4,5,2,3,2,5,5,2,2,3,2,3,3,4,4,3,2,5,3,4,4,4,3,3,4,4,2,2,2,2,2,"yes","yes",3,3.2,3.35,2
"3726",37.5,"Female","Yes Kids","dip","full-time",15000,"",0,4,"Medium-Sized","United States","Divorced","3",0,3,3,3,3,3,4,4,5,4,4,1,4,4,3,3,3,4,5,4,4,3,1,3,5,1,3,3,4,4,2,4,2,5,4,3,5,4,3,3,4,3,3,4,4,5,"yes","no",3,3.73333333333333,3.3,3.8
"3727",28,"Female","Yes Kids","ltuni","student",10000,"",2,0,"Village","United States","Single","1",2,4,3,3,1,1,1,1,1,1,1,2,1,3,1,1,4,1,2,1,4,2,1,2,3,2,2,3,3,2,1,4,4,2,2,2,4,2,2,2,2,4,4,4,3,3,"yes","no",2.4,1.66666666666667,2.35,3.6
"3729",24,"Female","No Kids","dip","full-time",45000,"",2,0,"Medium-Sized","United States","Single","0",0,2,1,2,2,2,1,1,2,3,2,1,2,2,1,3,4,3,2,2,1,3,2,2,4,4,1,3,3,3,2,2,3,3,3,1,4,3,4,3,3,4,5,4,3,2,"no","no",1.8,2,2.8,3.6
"3730",28,"Male","No Kids","ma","full-time",35000,"",0,1,"Village","United States","Single","0",0,4,3,2,2,2,1,2,4,4,1,1,3,4,1,3,4,3,4,2,3,5,3,3,4,5,4,3,2,5,1,3,5,3,2,4,5,5,3,4,4,5,5,5,5,4,"yes","yes",2.6,2.66666666666667,3.65,4.8
